ACH3666,a cidade constitucional
ACH4115,a epistemologia e o ensino de ciências
ACH3698,a recente produção acadêmica de fronteira em políticas públicas
ACH1523,abordagem geográfica do lazer e turismo
ACH3828,ação pública, mudança social
ACH5017,administração de serviços de atenção à saúde i
ACH5048,administração de serviços de atenção à saúde ii
ACH1708,administração financeira de negócios de lazer e turismo
ACH3573,administração financeira e de orçamentos
ACH2787,adornos corporais - linguagens, formas, criação
ACH1505,agências de turismo
ACH5007,agravos na saúde da mulher
ACH2717,alfaiataria
ACH2023,algoritmos e estruturas de dados i
ACH2024,algoritmos e estruturas de dados ii
ACH4068,alimentos, metabolismo e saúde
ACH3096,ambiência e envelhecimento
ACH1063,ambiente aquático
ACH1034,ambiente atmosférico
ACH1053,ambiente terrestre
ACH3126,amor e conjugalidade na vida adulta e na velhice
ACH2747,análise cultural
ACH4698,análise de campanhas de comunicação
ACH4608,análise de séries temporais
ACH1137,análise financeira e prestação de contas em gestão socioambiental
ACH4514,análise multivariada i
ACH4515,análise multivariada ii
ACH2005,análise, projeto e interface humano-computador
ACH5044,anatomia, fisiologia e endocrinologia do sistema reprodutor
ACH1545,animação cultural e lazer
ACH2543,antropologia aplicada
ACH5083,antropologia da saúde
ACH5041,antropologia do nascimento
ACH0512,antropologia e sociologia da educação física
ACH2608,aplicação de enzimas na indústria têxtil
ACH0544,aprendizagem motora
ACH2055,arquitetura de computadores
ACH2687,arte e semiótica
ACH0162,arte, literatura e cultura
ACH0172,arte, literatura e cultura - arte contemporânea
ACH0192,arte, literatura e cultura - literatura contemporânea
ACH0182,arte, literatura e cultura  fantasia e ficção científica na cultura pop
ACH0032,arte, literatura e cultura no brasil
ACH2573,artes e design visuais
ACH4088,as imagens geográficas na formação do professor de ciências
ACH0523,aspectos metabólicos e nutricionais da atividade física i
ACH0524,aspectos metabólicos e nutricionais da atividade física ii
ACH5014,aspectos psicossociais da gestação, parto e pós-parto
ACH3023,aspectos sócio - culturais do envelhecimento
ACH5016,assistência à mulher em risco obstétrico
ACH5015,assistência à mulher na família e na comunidade
ACH5034,assistência à mulher no ciclo gravídico-puerperal
ACH5037,assistência à mulher no parto
ACH5036,assistência à mulher no pré-natal e pós-parto
ACH5006,assistência ao recém-nascido e lactente
ACH5038,assistência às urgências e emergências
ACH5057,assistência em saúde mental
ACH5067,assistência perioperatória
ACH4073,astronomia do sistema solar
ACH4077,astronomia galáctica e extragaláctica
ACH4116,astronomia para o ensino de ciências
ACH0606,atividade física e a preparação corporal do artista
ACH4083,atividades acadêmico - científico - culturais
ACH0522,atividades complementares de formação em educação física e saúde
ACH0573,atividades de cultura e extensão universitária em educação física e saúde ii
ACH3565,auditoria no setor público
ACH3727,auditoria no setor público
ACH2807,automação e instalações para a indústria têxtil
ACH2068,avaliação de desempenho de sistemas computacionais
ACH1066,avaliação de impacto ambiental
ACH3127,avaliação física e funcional do idoso
ACH3095,avaliação gerontológica ampla
ACH3076,avaliação nutricional do idoso
ACH2004,bancos de dados
ACH2523,beneficiamento têxtil i
ACH2524,beneficiamento têxtil ii
ACH5532,biodiversidade geral e aplicada
ACH8612,bioestatística
ACH3094,bioética
ACH5026,bioética e dilemas na reprodução humana
ACH5555,bioinformática
ACH5022,biologia celular
ACH0596,biologia da atividade física
ACH4106,biologia do corpo humano
ACH4067,biologia do desenvolvimento
ACH3042,biologia do sono
ACH3012,biologia e sociedade
ACH3032,biologia e sociedade
ACH0574,biologia, corpo e sociedade
